128,Charlotte,Scott,Marketing,82000
129,James,Ward,Engineering,95000
130,Sophia,Green,HR,80000
131,Logan,Parker,Finance,86000
132,Ava,Harris,Marketing,83000
133,Matthew,Allen,Engineering,96000
134,Ella,Lopez,HR,81000
135,Michael,Mitchell,Finance,87000
136,Grace,Turner,Marketing,84000
137,Lincoln,Young,Engineering,97000
138,Scarlett,King,HR,82000
139,William,Richardson,Finance,88000
140,Chloe,Miller,Marketing,85000
141,Jack,Moore,Engineering,98000
142,Avery,Williams,HR,83000
143,Ethan,Adams,Finance,89000
144,Isabella,Thomas,Marketing,86000
145,Liam,Campbell,Engineering,99000
146,Olivia,Robinson,HR,84000
147,Matthew,Morgan,Finance,90000
148,Sophia,Cook,Marketing,87000
149,James,Bailey,Engineering,100000
